Homo_sapiens,Gorilla_gorilla,Pan_paniscus
XM_017006373,XM_004037811,XM_003826496
NM_001168378,XM_004037812,XM_003826494
NM_003412,XM_004037813,XM_003826493
NM_031850,XM_004037815,XM_014344395
NM_001871,XM_019023947,XM_008951887
NM_001870,XM_004037819,XM_003826489
NM_004130,XM_004037821,XM_008951886
XM_011513092,XM_019024553,XM_008951882
NM_032383,XM_019023904,XM_003826485
XM_011512435,XM_019023901,XM_008951877
NM_138786,XM_019024892,XM_003826483
XM_017006385,XM_019023847,XM_008951875
NM_004617,XM_004037832,XM_003826480
XM_017006122,XM_019024199,XM_003826478
NM_016094,XM_004037835,XM_003826477
NM_001144960,XM_019023612,XM_003826476
XM_024453332,XM_019023616,XM_014344403
NM_053024,XM_004037839,XM_014344398
NM_014779,XM_019023011,XM_003826641
NM_014445,XM_019023438,XM_008951873
NM_032025,XM_004037841,XM_003826469
NM_016275,XM_019023439,XM_008951872
NM_152394,XM_004037845,XM_003826468
NM_005067,XM_004037846,XM_003826639
NM_001351281,,XM_024928221
NM_001195794,XM_004037849,XM_008951869
XM_017005676,XM_019023183,XM_008951867
XM_017006274,XM_004037856,XM_008951866
XM_017007583,XM_019023185,XM_003826464
NM_023915,XM_019019910,XM_003826462
NM_176894,XM_004037857,XM_003826465
NM_176876,XM_004037858,XM_003826467
XM_011512708,XM_004037854,XM_003826461
NM_207365,XM_004037861,XM_003826457
NM_001086,XM_019022883,XM_008951865
NM_033050,XM_004037864,XM_003826458
XM_006713639,XM_019024085,XM_008951857
NM_002563,XM_004037867,XM_008951853
NM_002886,XM_019024780,XM_003826449
NM_001101337,XM_004037870,XM_003826448
NM_015595,XM_019024742,XM_008951852
NM_020865,XM_019024430,XM_003826444
NM_001038705,XM_004037875,XM_003826443
XM_011512857,XM_019024578,XM_024928186
XM_011512562,XM_019024632,XM_014344419
NM_001308229,XM_019023119,XM_003806093
NM_004733,XM_019024696,XM_008978421
XM_011513263,XM_004037882,XM_003806090
NM_172160,XM_004037886,XM_003830650
NM_001308197,XM_004037889,XM_003830655
NM_015508,XM_019024705,XM_014344443
XM_006713631,XM_004037896,XM_003830645
NM_020307,XM_004037899,XM_003830644
XM_011513134,XM_019023918,XM_008956082
NM_002852,XM_004037902,XM_003830643
NM_001130002,XM_004037905,XM_003830639
NM_003030,XM_004037909,XM_003830638
NM_016625,XM_019023014,XM_014344445
NM_001195432,XM_004037913,XM_008956077
NM_001308164,XM_019024261,XM_003830633
XM_017006876,XM_004037916,XM_003830634
XM_005247686,XM_019023015,XM_014344430
NM_022736,XM_019023016,XM_014344428
NM_001042705,XM_004037921,XM_008956070
NM_014575,XM_019024462,XM_014344441
NM_000882,XM_004037923,XM_003830628
NM_001168214,XM_004037924,XM_014344425
NM_020800,XM_019023795,XM_003830626
XM_011512311,XM_019023793,XM_008956068
NM_173084,XM_004037932,XM_008956063
NM_002268,XM_019024397,XM_008956062
NM_025047,XM_004037939,XM_003830620
NM_139245,XM_019024654,XM_003830619
NM_001349163,XM_019024754,XM_024928202
NM_001320227,XM_019024544,XM_008956054
XM_017005794,XM_004037954,XM_014344421
NM_001080440,XM_004037956,XM_003830614
NM_001041,XM_019023079,XM_003817701
NM_014926,XM_019022889,XM_008970945
NM_000055,XM_019024713,XM_003817698
XM_017007186,XM_019024832,XM_008970944
NM_001012303,XM_019024833,XM_008970942
NM_001348952,XM_019024835,XM_024928465
XM_017005644,XM_019024680,XM_014344450
XM_017006618,XM_019024815,XM_003817690
XM_005247364,XM_019024724,XM_008970931
XM_005247213,XM_019024617,XM_008970923
NM_032487,XM_004037982,XM_003817680
XM_017006864,XM_004037983,XM_003817678
NM_001172779,XM_004037985,XM_003817676
XM_011512748,XM_004037987,XM_003817675
NM_024727,XM_004037988,XM_003817674
NM_182610,XM_004037990,XM_003817673
NM_003262,XM_019024171,XM_008970910
XM_024453451,XM_019024305,XM_024928209
XM_005247789,XM_019024295,XM_008957293
NM_002740,XM_019023021,XM_003831921
XM_006713735,XM_019024656,XM_008957303
NM_005602,XM_004037998,XM_003831925
NM_020949,XM_004037997,XM_003831924
NM_001099645,XM_004038000,XM_003831927
NM_020390,XM_019022891,XM_003831926
NM_000340,XM_004038005,XM_003831936
NM_015028,XM_019024028,XM_003831929
XM_005247533,XM_019024688,XM_008957308
XM_011512817,XM_004038009,XM_003831939
XM_024453717,XM_019023022,XM_003831940
NM_198407,XM_004038010,XM_003831941
NM_003810,XM_019024627,XM_008957310
NM_001146276,XM_004038017,XM_003831946
XM_011512514,XM_004038020,XM_008957314
NM_031955,XM_004038022,XM_003831949
XM_017005896,XM_019024671,XM_008957322
XM_011512612,XM_019024769,XM_003831952
XM_024453752,XM_019024147,XM_008957326
XM_011512325,XM_019024432,XM_014344452
XM_011513073,XM_019024434,XM_008957333
XM_011512894,XM_004038036,XM_014344454
NM_014407,XM_004038037,XM_014344451
XM_017006553,XM_019024867,XM_008957337
XM_005247596,XM_019024214,XM_008957338
XM_006713721,XM_019024216,XM_008957339
NM_004301,XM_004038045,XM_003831965
NM_020409,XM_019023789,XM_003831966
NM_002492,NM_001279594,XM_003831967
NM_003940,XM_004038064,XM_008957343
XM_024453590,XM_019024383,XM_008957345
NM_133462,XM_004038063,XM_008957348
NM_181426,XM_019023023,XM_003831975
XM_005247813,XM_019023812,XM_008957350
NM_145261,XM_004038068,XM_003831980
NM_003106,XM_019023024,XM_008957354
NM_014616,XM_019023025,XM_024928132
XM_011512912,XM_019024574,XM_008957362
NM_020166,XM_019024419,XM_003831981
XM_005247360,XM_019022866,XM_003831982
NM_015078,XM_004038073,XM_003831983
XM_017007309,XM_004038079,XM_008957365
NM_130446,XM_004038081,XM_003831990
XM_024453607,XM_019024587,XM_008957368
XM_006713688,XM_019024222,XM_008957370
NM_024871,XM_004038094,XM_003832009
XM_005247582,XM_019024365,XM_003831992
XM_011512314,XM_019024290,XM_003831994
NM_130770,XM_004038089,XM_003831995
NM_001256614,XM_019023040,XM_024928344
NM_003907,XM_019023039,XM_003806589
XM_005247172,XM_019023048,XM_008955204
NM_001311198,XM_004038100,XM_003806590
NM_018358,XM_004038098,XM_003806576
XM_011513290,XM_019023049,XM_014344476
NM_005787,XM_019023054,XM_003806592
NM_032331,XM_019023057,XM_008955314
NM_033259,XM_004038120,XM_003804180
NM_001100120,XM_004038119,XM_003806582
NM_002808,XM_004038128,XM_003806583
NM_001194947,XM_019023059,XM_008955322
NM_144635,XM_019019895,XM_003806593
NM_004366,XM_019023026,XM_003806572
XM_006713667,XM_019023067,XM_008955422
NM_001290003,XM_004038130,XM_003806597
XM_017007388,XM_019023072,XM_024928196
NM_004443,XM_019023078,XM_014344484
NM_022149,XM_004038139,XM_003806600
XM_024453427,XM_019024453,XM_008955476
NM_001025266,XM_004038143,XM_008955495
NM_001966,XM_019024714,XM_003806605
XM_017007456,XM_019023671,XM_003806606
NM_080652,XM_019023674,XM_003806607
NM_139248,XM_004038149,XM_003806608
NM_021627,XM_019024568,XM_003806610
NM_001291869,XM_019024603,XM_008955578
NM_004593,XM_004038154,XM_003806615
NM_004454,XM_004038157,XM_008955637
NM_001346,XM_004038160,XM_003806620
NM_017541,XM_019023738,XM_008955685
NM_018138,XM_004038166,XM_003806625
NM_016306,XM_004038163,XM_008955699
NM_001354571,XM_019023739,XM_008955727
XM_011512681,XM_004038168,XM_008955732
XM_005247415,XM_019024800,XM_003806629
NM_001102416,XM_019023260,XM_003806631
NM_001967,XM_019023262,XM_008955767
NM_181573,XM_004038172,XM_008955758
NM_004797,XM_019023129,XM_003806635
NM_173216,XM_019024132,XM_014344487
NM_052969,XM_019024133,XM_008955873
NM_153708,XM_004038178,XM_003806637
XM_011512989,XM_004038180,XM_008955890
NM_022147,XM_004038183,XM_003806639
NM_001048,XM_004038187,XM_003806640
XM_017006302,XM_004038189,XM_003824956
XM_005247694,XM_019024169,XM_008978650
XM_011512823,XM_019023948,XM_024928106
XM_024453482,XM_019024887,XM_003824960
NM_003722,XM_004038198,XM_003824962
NM_018192,XM_004038205,XM_003824964
NM_021101,XM_004038207,XM_003824966
NM_006580,XM_004038208,XM_003824967
NM_207316,XM_019023144,XM_003824968
NM_001167931,XM_019024722,XM_008978661
NM_001146686,XM_004038212,XM_003824973
XM_017006303,XM_019023173,XM_003804462
XM_017006091,XM_004038214,XM_003804461
NM_178335,XM_019024312,XM_003804460
NM_001083308,XM_004038215,XM_003804458
NM_021032,XM_004038217,XM_003807662
NM_178496,XM_019024884,XM_003807661
XM_011513034,XM_019022862,XM_003807660
NM_198505,XM_004038219,XM_003807659
NM_032279,XM_004038221,XM_003807658
NM_130837,XM_004038224,XM_003807652
NM_005524,XM_004038230,XM_003807649
XM_005269280,XM_019023128,XM_008959803
NM_001135057,XM_004038235,XM_003807647
NM_004488,XM_004038239,XM_003807671
XM_011513121,XM_019024403,XM_014344496
XM_011513320,XM_019024339,XM_008959799
NM_018385,XM_019024338,XM_003807643
NM_153690,XM_004038237,XM_003807642
NM_152531,XM_019023029,XM_003807641
XM_017006046,XM_019023030,XM_008959792
NM_001291504,XM_004038243,XM_003807639
NM_001647,XM_004038244,XM_003807638
NM_001282506,XM_004038246,XM_008975772
NM_001322468,XM_019023031,XM_024927449
XM_011512317,XM_019023267,XM_008953343
NM_003234,XM_004038250,XM_003806407
NM_001039617,XM_004038261,XM_003806409
NM_152672,XM_019023970,XM_008953376
NM_005017,XM_019023035,XM_008953394
NM_001351628,XM_019023972,XM_024928399
NM_001204897,XM_019023976,XM_008953398
NM_015562,XM_019024412,XM_003806418
NM_152617,XM_019024415,XM_008953441
NM_001077657,XM_019020091,XM_003806430
XM_024453509,XM_004038255,XM_024928400
NM_001105573,XM_019023036,
NM_198565,XM_004038256,XM_008953488
XM_011513246,XM_004038257,XM_008953501
NM_001166304,XM_019023037,XM_008953510
XM_017006501,XM_019023938,XM_003806416
XM_011512544,XM_004038269,XM_003806419
NM_007362,XM_019020012,XM_003806425
NM_001355243,,XM_003806432
XM_024453767,XM_019024771,XM_003806423
XM_011512850,XM_019024777,XM_008953560
XM_017005803,XM_019024095,XM_008953601
XM_011513067,XM_019024345,XM_014344514
XM_006713827,XM_019023382,XM_008953769
NM_032288,XM_004038281,XM_003806438
NM_001363887,XM_019023390,XM_014344511
XM_024453790,XM_019023393,XM_008953825
NM_001316311,XM_004038287,XM_003806445
NM_001136049,XM_019023038,XM_003806439
NM_182524,XM_019024987,XM_008961729
NM_001137608,XM_019025364,XM_008961693
XM_017008591,XM_019025365,XM_014344524
NM_133474,XM_019024989,XM_008963735
NM_001127178,XM_004038295,XM_003811310
XM_011513473,XM_004038298,XM_014344525
NM_007100,,XM_024928550
XM_006713886,XM_004038300,XM_014344538
XM_024454244,,XM_003811307
NM_006315,XM_019025195,XM_008963720
NM_006651,XM_019025199,XM_008963719
XM_011513425,XM_004038309,XM_008963712
XM_017008701,XM_019025206,XM_014344529
XM_011513411,XM_019024990,XM_024928551
NM_213613,XM_019025220,XM_008963702
NM_000203,XM_019025221,XM_008963738
XM_024454092,XM_019025222,XM_008963700
NM_001131034,XM_019026073,XM_008963695
NM_012445,XM_004038319,XM_008963693
XM_005272261,XM_019025298,XM_014344531
XM_006713849,XM_004038321,XM_003811289
XM_017008494,XM_019025308,XM_008963687
NM_175918,XM_019025110,XM_014344527
NM_001290079,,XM_024928552
XM_011513402,XM_019025358,XM_024928717
NM_006527,XM_004038329,XM_003812932
NM_001127266,XM_019025361,XM_003812934
XM_005247929,XM_019025359,XM_008965462
XM_006713868,XM_019025761,XM_008965470
NM_012318,XM_019024991,XM_014344562
XM_011513557,,XM_014344552
XM_017008589,XM_019025316,XM_008965479
XM_011513469,XM_019024992,XM_008965517
NM_178557,XM_004038336,XM_003812976
NM_181808,XM_019025610,XM_014344555
NM_024511,XM_019025613,XM_014344554
XM_011513388,XM_004038337,XM_024928553
XM_006713900,XM_019025793,XM_003812941
XM_024454046,XM_004038343,XM_008965519
NM_002938,XM_019025309,XM_008965493
XM_011513590,XM_019024994,XM_014344551
NM_024309,XM_004038344,XM_008965496
NM_001145856,XM_019025177,XM_003812950
XM_017007703,XM_019024995,XM_014344543
XM_024453871,XM_019025184,XM_003812959
NM_003703,XM_019025181,XM_003812954
XM_011513447,XM_004038350,XM_003812961
NM_002111,XM_019025413,XM_003812979
NM_001042690,XM_004038354,XM_008965506
XM_017008529,XM_019025600,XM_008958925
NM_001297439,XM_004038356,XM_008958938
XM_011513435,XM_019025226,XM_008958954
NM_002337,XM_019025228,XM_003804369
NM_000683,XM_004038360,XM_024928554
NM_177998,XM_004038370,XM_003816485
XM_005248034,XM_004038372,XM_003816487
XM_011513506,XM_019025780,XM_003816483
NM_145291,XM_004038376,XM_003816482
NM_014392,,XM_008969537
XM_011513480,XM_004038377,XM_008969538
NM_002448,XM_004038381,XM_003816493
XM_017008299,XM_004038382,XM_003816478
NM_018401,XM_019026104,XM_008969535
NM_147127,XM_004038385,XM_014344564
NM_153717,XM_004038390,XM_008969545
NM_001014809,XM_004038386,XM_024928493
NM_001364689,XM_019025127,XM_008969530
XM_017007790,XM_019026068,XM_003816471
XM_017008586,XM_004038392,XM_008969529
NM_181876,XM_004038393,XM_003816468
NM_015274,XM_004038397,XM_003816465
NM_033296,XM_019025423,XM_008969525
NM_005980,XM_004038402,XM_003816464
XM_005247932,XM_019025660,XM_014344572
NM_018366,XM_004038404,XM_003816461
XM_024454289,XM_019025634,XM_008969520
XM_011513508,XM_019024997,XM_003816459
NM_153376,XM_004038407,XM_003846056
NM_152293,XM_019025337,XM_003816458
NM_025196,XM_004038409,XM_003816457
XM_005247987,XM_019024999,XM_008969518
NM_001085382,XM_004038410,XM_003816456
XM_011513544,XM_019025853,XM_008969516
XM_005248014,XM_019025001,XM_014344575
XM_017008300,XM_019025847,XM_024928577
NM_053044,XM_004038418,XM_003816489
XM_011513565,XM_019025518,XM_008969496
NM_152544,XM_019025519,XM_008969495
NM_080819,XM_004038425,XM_008969494
NM_001014447,XM_004038426,XM_003816437
NM_018942,XM_004065195,
XM_011513856,XM_019025258,XM_024928486
NM_000798,XM_004038436,XM_003826782
XM_017008880,XM_004038429,XM_014344610
XM_024454265,XM_019025881,XM_014344619
XM_011513775,XM_019025882,XM_003826785
XM_011513913,XM_004038441,XM_003826786
NM_001017979,XM_004038445,XM_003826787
NM_001189,XM_004038449,XM_008952122
XM_011513827,XM_019025628,XM_014344613
XM_005248135,XM_019025277,XM_014344586
XM_011513772,XM_004038452,XM_024928663
XM_005248177,XM_019025284,XM_008952124
NM_012161,XM_004038461,XM_008952138
XM_024454007,XM_019025293,XM_024928668
NM_004334,XM_019025295,XM_003826794
NM_001775,XM_019026042,XM_003826799
NM_005130,XM_004038469,XM_008952139
NM_031950,XM_004038474,XM_003826804
XM_011513897,XM_019025818,XM_014344618
NM_153365,XM_019025738,XM_008952146
XM_006713975,XM_019025618,XM_003826806
NM_000320,XM_004038478,XM_003826810
NM_001079827,XM_004038480,XM_003826812
NM_015907,XM_019025475,XM_003845981
NM_025205,XM_004038483,XM_003826814
NM_015688,XM_004038482,XM_003826813
XM_024454104,XM_019025398,XM_014344591
XM_017008543,XM_004038484,XM_008952160
XM_011513821,XM_019025393,XM_008952159
XM_005248211,XM_019025924,XM_008952162
XM_011513784,XM_019025005,XM_014344598
NM_025221,XM_019025006,XM_003826823
NM_145290,XM_019025843,XM_003826828
NM_001277225,XM_004038495,XM_014344583
XM_024453878,XM_019025658,XM_008952182
NM_001358,XM_019025482,XM_003826833
NM_003102,XM_004038497,XM_008952185
XM_011513906,XM_019025782,XM_008952186
NM_018176,XM_004038499,XM_003826908
XM_017008277,XM_004038500,XM_003826835
NM_018323,XM_004038501,XM_008952191
XM_011513835,XM_019024926,XM_003826837
NM_001286756,XM_019025007,XM_008952194
NM_006424,XM_004038502,XM_003826840
NM_015187,XM_019025686,XM_003826841
NM_001145432,XM_019025008,XM_008952196
XM_017008170,XM_019025480,XM_008952197
NM_000730,XM_004038509,XM_003826843
XM_017008363,XM_019026098,XM_003826844
NM_001169118,XM_019025009,XM_008952198
XM_011513842,XM_004038521,XM_008952275
XM_017007699,XM_019025871,XM_003832149
XM_011513693,XM_004038529,XM_003832151
NM_001144990,XM_004038530,XM_003832152
XM_011513713,XM_019025916,XM_008957555
NM_001085400,XM_019025917,XM_008957556
NM_018290,XM_019025926,XM_003832156
XM_011513659,XM_019025597,XM_008957560
NM_006607,XM_004038539,XM_003832159
NM_016531,XM_004038541,XM_003832161
XM_011513762,XM_019024900,XM_008957548
XM_024454198,XM_019024903,XM_014344621
XM_024453873,XM_019024913,XM_008957550
XM_005262672,XM_019025883,XM_008957566
NM_024943,XM_019025113,XM_003832177
XM_017008273,XM_004038559,XM_008957569
XM_011513724,XM_019025463,XM_003832181
NM_001204747,XM_004038561,XM_003832180
NM_175737,XM_004038563,XM_003832182
XM_024454182,XM_019025176,XM_008957572
NM_006859,XM_004038565,XM_003832187
XM_005262667,XM_019025468,XM_008957573
NM_174921,XM_019025469,XM_003832189
NM_005339,XM_004038573,XM_003832191
XM_017007928,XM_019025596,XM_003832192
XM_011513717,XM_019026000,XM_014344646
XM_024454042,XM_019026110,XM_008957578
NM_017581,XM_004038593,XM_003832209
XM_024454098,XM_019025666,XM_024928557
NM_024677,XM_019025264,XM_003832215
XM_011513686,XM_019025268,XM_003832214
NM_004181,XM_004038606,XM_024928518
XM_011513642,XM_019025483,XM_024928494
NM_003924,XM_004038612,XM_024928588
XM_005248117,XM_019025774,XM_008957611
NM_001029955,XM_004038614,XM_003832226
XM_017007654,XM_019025661,XM_003832225
XM_017008185,XM_019026090,XM_014344647
NM_001080505,XM_004038618,XM_003832231
XM_011513616,XM_019025804,XM_008957614
NM_001080476,XM_004038621,XM_003832232
XM_011513690,XM_019024917,XM_008957616
XM_011513679,XM_004038630,XM_003832627
NM_021927,XM_004038626,XM_003832235
NM_138335,XM_019025605,XM_008957618
NM_173536,XM_019024943,XM_003816031
XM_024453967,XM_019026034,XM_014344692
NM_000809,XM_019025637,XM_014344684
NM_000812,XM_019025638,XM_003816021
XM_017008330,XM_004038636,XM_003816020
NM_020453,XM_019026005,XM_014344687
NM_006587,XM_004038637,XM_003816014
NM_152995,XM_019025860,XM_008969059
XM_005248049,XM_019025861,XM_003816016
NM_207330,XM_004038639,XM_003816010
XM_024454200,XM_004038640,XM_003816009
XM_024454193,XM_019024963,XM_003816008
XM_005248121,XM_004038645,XM_014344686
NM_152679,XM_004038647,XM_003816033
NM_175619,XM_019025013,XM_003816032
XM_024453988,XM_019025677,XM_008969051
XM_024454105,XM_019025565,XM_008969045
NM_001014446,XM_004038653,XM_003816004
XM_011513755,XM_004038657,XM_003816002
NM_001287755,XM_019025716,XM_008953924
NM_001024611,XM_004038666,XM_003806452
NM_000232,XM_019025879,XM_014344680
NM_145263,XM_004038664,XM_003806450
NM_022832,XM_004038668,XM_003806454
NM_024534,XM_019024972,XM_014344671
NM_023940,XM_004038675,XM_003806458
NM_152540,XM_004038673,XM_003806459
XM_005265769,XM_019025496,XM_008954048
XM_024454262,XM_004038680,XM_003806466
NM_012110,XM_004038681,XM_003806468
NM_133267,XM_004038683,XM_003806467
NM_001347828,XM_019025868,XM_008954166
XM_005265740,XM_019025974,XM_008954177
NM_002253,XM_004038687,XM_003806471
NM_024592,XM_004038688,XM_008954221
NM_018475,XM_019025460,XM_003806501
XM_024454284,XM_019025459,XM_014344677
NM_152401,XM_019025141,XM_003806475
NM_006681,XM_019025100,XM_003806476
NM_001351574,XM_004038714,XM_003806502
XM_005265748,XM_019025823,XM_008954301
NM_025009,XM_019026093,XM_003806480
XM_024454159,XM_019025969,XM_008954334
NM_001323890,XM_019026016,XM_008954383
NM_002703,XM_004065398,XM_003806486
NM_001079525,XM_019025276,XM_003806487
NM_006947,XM_004038693,XM_003806484
NM_001363794,XM_019025116,XM_003806490
XM_011534357,XM_019025090,XM_003806491
NM_001145460,XM_004038699,XM_008954442
XM_024454191,XM_004038707,XM_003806494
NM_005612,XM_019025240,XM_008954475
NM_032313,XM_019025242,XM_003806497
NM_000938,XM_019025238,XM_008954501
NM_001553,XM_019025243,XM_003806499
XM_017007930,XM_019025806,XM_014344666
NM_001010874,XM_019025107,XM_014344658
NM_001281765,XM_019025962,XM_014344665
NM_001812,XM_019026022,XM_008968829
XM_017008018,XM_019025815,XM_003815808
NM_018227,XM_004038734,XM_003815809
NM_000406,XM_004038735,XM_003815810
NM_004262,XM_004038737,XM_003815812
NM_182606,XM_019025136,XM_008968831
NM_207407,XM_004038740,XM_003810440
XM_011531608,XM_019025143,XM_003810442
NM_001330698,XM_019025454,XM_008962807
NM_014058,,XM_003810445
XM_024454205,,
NM_001075,,XM_008972378
XM_011532247,XM_019026085,
NM_001074,,XM_003805529
NM_001073,,XM_008972340
NM_021139,XM_019024935,XM_008961163
NM_001252274,XM_019025091,
XM_005265676,XM_019026048,XM_003809015
NM_005420,XM_004038759,XM_003809013
NM_001890,XM_004038761,XM_003809012
XM_017007760,XM_004038763,XM_003809011
NM_003154,XM_004038767,XM_003809004
NM_000200,XM_004038764,XM_003809003
NM_002159,XM_004038766,XM_008961157
NM_214711,XM_019025112,XM_003809002
XM_005265698,XM_004038773,XM_003809001
NM_152997,XM_019025119,XM_003809000
XM_017007761,XM_004038774,XM_003808999
NM_033122,XM_004038775,XM_003808994
XM_017008021,XM_004038776,
NM_006685,XM_019025885,XM_008961155
NM_021225,XM_004038777,XM_003808998
NM_152291,XM_019026028,XM_008961154
NM_212557,XM_004038779,XM_003808993
NM_016519,XM_019025138,XM_003808992
XM_006714056,XM_019025629,XM_003808989
NM_144646,XM_004038782,XM_003808990
NM_020368,XM_004038785,XM_003808988
XM_011531750,XM_019025415,XM_008961145
XM_005265681,XM_004038788,XM_008961144
XM_017008837,XM_019025764,XM_008961140
NM_000788,XM_004038789,XM_003808983
XM_024454267,XM_019025724,XM_024928575
NM_001204307,XM_019025819,XM_008971654
NM_004885,XM_004038797,XM_024928574
NM_014243,XM_019024973,XM_003818364
NM_001300729,XM_019025402,XM_008971646
NM_032217,XM_004038802,XM_008971825
NM_000477,XM_004038803,XM_003832342
NM_001134,XM_004038804,XM_003832341
NM_001133,XM_004038805,XM_003832340
NM_201431,XM_004038806,XM_024928712
NM_000584,XM_019025753,XM_003832335
NM_002993,XM_004038811,XM_003832334
NM_002620,XM_004038812,XM_003832333
NM_001511,XM_004038813,XM_003832332
NM_001363352,XM_004038814,XM_003832331
NM_002704,XM_004038815,XM_003832330
NM_002994,XM_004038816,XM_003832329
NM_002090,XM_004038817,XM_024928684
NM_002089,XM_004038819,XM_003832326
XM_017008218,XM_019025995,XM_008957728
NM_001270989,XM_004038821,XM_003832324
NM_001432,XM_004038827,XM_003832323
NM_001657,XM_004038833,XM_003832322
XM_011532211,XM_004038834,XM_008957722
XM_011531833,XM_019025783,XM_014344643
NM_015436,XM_004038836,XM_003832315
XM_011531667,XM_019025696,XM_008957721
XM_011531668,XM_019025147,XM_003832314
XM_017008809,XM_019025330,XM_024928701
XM_024454294,XM_019025331,XM_003832313
NM_001290049,XM_004038861,XM_008957717
XM_011532039,XM_004038862,XM_003832308
XM_017008027,XM_019025509,XM_003832305
NM_018115,XM_004038845,XM_003832302
NM_002416,XM_004038848,XM_003832307
XM_024454053,XM_019025929,XM_008957697
NM_001565,XM_004038852,XM_003832298
NM_001302123,XM_019025932,XM_014344645
NM_017426,XM_019025888,XM_003832292
NM_005506,XM_019025410,XM_003832291
NM_001136570,XM_019025411,XM_008957694
NM_003943,XM_004038856,XM_003832290
XM_017008160,XM_019024964,XM_008957689
XM_011532157,XM_019025820,XM_003832287
NM_001029870,XM_019026116,XM_003846148
XM_017008401,XM_019025254,XM_008957682
NM_006835,XM_019025244,XM_003832286
XM_011532399,XM_019025950,XM_008957678
XM_006714063,XM_004038869,XM_008957677
XM_011531806,XM_019025912,XM_014344628
NM_020236,XM_004038870,XM_003832281
NM_025074,XM_004038871,XM_003832280
NM_005139,XM_019026067,XM_024928694
NM_198892,XM_019025578,XM_003832633
XM_024453909,XM_004038873,XM_003832277
XM_017008779,XM_019025145,XM_008957664
NM_033214,XM_004038874,XM_003832276
NM_001145794,XM_019025910,XM_008957660
XM_011532133,XM_019026071,XM_008958067
NM_004464,XM_004038880,XM_003832273
XM_017007972,XM_004038883,XM_003832272
NM_001201,XM_004038884,XM_003832270
XM_017008416,XM_019025078,XM_008957652
XM_017007813,XM_019026114,XM_008957649
NM_031370,XM_019025223,XM_014344637
NM_031372,XM_019025224,XM_003832259
NM_021204,XM_004038893,XM_003832263
NM_001353454,XM_004038895,XM_003832258
NM_001037582,XM_019025844,XM_003832256
NM_001318120,XM_019025016,XM_014344633
NM_024672,XM_004038897,XM_003832255
XM_006714081,XM_019025334,XM_008957640
NM_001330727,XM_004038908,XM_003832250
NM_016619,XM_004038904,XM_003832249
XM_011531855,XM_019026115,XM_003832247
NM_006665,XM_019025063,XM_003832244
NM_133636,XM_004038913,XM_003832241
NM_016067,XM_019025759,XM_003832243
NM_139076,,XM_003832242
XM_017008780,XM_004038915,XM_014344622
NM_006168,XM_019025018,XM_003832629
NM_001263,XM_004038919,XM_003832240
XM_017007908,XM_019025019,XM_008957622
NM_001025616,XM_019025813,XM_003811243
NM_001318069,XM_019025522,XM_008963621
XM_011532165,XM_019025698,XM_003811249
NM_197965,XM_004039079,XM_003811251
XM_017007746,XM_019025115,XM_008963632
XM_011531973,XM_019025473,XM_008963636
NM_020803,XM_004039083,XM_008963642
NM_178135,XM_004039085,XM_003811258
NM_016245,XM_019025020,XM_003811256
NM_024047,XM_019025231,XM_003811260
NM_004684,XM_019025235,XM_003811264
NM_014208,XM_019025139,XM_003846002
XM_011531705,XM_004039092,XM_003811267
NM_004967,XM_019025109,XM_003811269
XM_006714278,XM_004039095,XM_008963645
NM_001251830,XM_004039102,XM_008963650
NM_000297,XM_004039107,XM_008963653
XM_011532420,XM_019025873,XM_008963654
XM_017007803,XM_019025775,XM_008963656
XM_005263083,XM_019025378,XM_008963657
XM_011532022,XM_019025377,XM_008963661
NM_001042616,XM_004039113,XM_008963662
NM_032906,XM_004039112,XM_003811284
XM_005263327,XM_019025381,XM_008963663
NM_153757,XM_019025383,XM_003811278
XM_011531516,XM_019025591,XM_008963666
NM_145715,XM_004039118,XM_008955292
XM_017008044,XM_004039120,XM_008955293
XM_011532207,XM_004039126,XM_008955294
XM_017007893,XM_019024933,XM_003829896
XM_017008194,XM_004039129,XM_003829898
XM_011531893,XM_019025021,XM_003829901
NM_005172,XM_004039134,XM_003829902
XM_024454154,XM_019025895,XM_008955299
NM_014485,XM_004039135,XM_003829905
XM_006714066,XM_019025348,XM_008955301
NM_001256793,XM_004039138,XM_003829910
XM_005263321,XM_019025352,XM_008955313
NM_005390,XM_004039140,XM_003829913
XM_011531886,XM_019025022,XM_024928583
NM_001100426,XM_019025704,XM_008955315
NM_005723,XM_004039146,XM_003829918
NM_001130679,XM_019025023,XM_008955319
NM_015143,XM_019025024,XM_003829922
NM_000671,XM_004039148,XM_003829923
NM_001306172,XM_019025462,XM_014344705
NM_001102470,XM_004039150,XM_003829926
NM_000667,XM_019025319,XM_003829929
NM_000668,XM_004040174,XM_003829928
NM_001166504,XM_004040176,XM_003829931
NM_032149,XM_004040177,XM_003829932
XM_006714417,XM_019024955,XM_008955326
NM_001300785,XM_004040180,XM_003829935
XM_373030,,XM_008955437
NM_014395,XM_004040183,XM_003829938
NM_021970,XM_004040187,XM_003829939
NM_001031723,XM_019025262,XM_003829937
NM_002106,XM_004040184,XM_003829940
NM_145244,XM_019024953,XM_003829943
XM_011532024,XM_004040193,XM_003829944
NM_000944,XM_004040195,XM_003829946
NM_017935,XM_019024929,XM_003829949
